ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d,month,year
5031.KL,2024-02-16,85.0,1.0,-0.0036165335845945,-0.0137628842272279,-0.041591218498868,-0.0445060048187151,-0.0226967353251758,-0.0352688109749371,-0.0189738140067514,-0.0695492331674796,2,2024
5031.KL,2024-07-01,60.0,1.0,0.0138612728355547,0.0037122969445566,0.0138612728355547,-0.0035082745388335,0.0217821152970083,0.0131849493264424,-0.0221614582703733,-0.0692019137877271,7,2024
7103.KL,2015-03-24,60.0,0.944,-0.0146340912172852,-0.0238621070680412,0.0097567011707273,-0.0136551143287109,-0.0146340912172852,-0.041513326909803,-0.1219505153008181,-0.069074039655394,3,2015
0099.KL,2016-06-30,60.0,1.0,-0.0264315939721287,-0.0243942105283286,0.0,-0.0004232402669683,0.0176209370368183,0.0149487300923274,-0.0617987652852033,-0.0682313531474104,6,2016
4863.KL,2012-12-11,60.0,1.0,0.0228876983307924,0.0120017807629273,0.0457745324932288,0.0274932464393109,0.031690250153473,0.005495813481916,-0.0686618984515764,-0.0681563116768162,12,2012
4863.KL,2013-04-24,60.0,1.0,0.0091575083975867,0.0055788716570639,0.0334635898035933,-0.0009288731025387,0.0259748109047541,-0.012511781737309,-0.0152139916858807,-0.0681556942898925,4,2013
8869.KL,2015-09-18,60.0,0.667,-0.0956526429718862,-0.059101743426737,-0.0608691509932315,-0.0477750265864365,-0.065218152691332,-0.0865306083897041,-0.0892680852129936,-0.0681114484032051,9,2015
7103.KL,2016-12-01,60.0,0.667,0.0560339361653643,0.0453910232897845,0.0560339361653643,0.0490554444502404,0.051724220125509,0.0423232956442276,-0.012930864340196,-0.0677930822846918,12,2016
4863.KL,2016-09-09,85.0,0.889,-0.030499564807497,-0.0123193074757067,0.0004419292289605,0.01332111346188,-0.0128184498523886,-0.0013090497054792,-0.0997494515342605,-0.0677471433713491,9,2016
5031.KL,2024-05-16,85.0,1.0,-0.02087280749802,-0.0260183525805246,0.0018976282460105,0.0108541437985327,-0.0436432432420506,-0.0405522187222917,-0.0664135686652716,-0.0671832183140535,5,2024
5031.KL,2018-07-11,60.0,0.667,0.0098762880374487,-0.0281987168561483,-0.0061729577291286,-0.050589905506568,0.0246912180487115,-0.0439741180221449,-0.0395061480599746,-0.0669877078004593,7,2018
7103.KL,2016-05-24,85.0,0.611,0.0,-9.843169257228725e-05,-0.011673198700052,-0.0330652360641519,-0.0894935839285556,-0.0967821091432489,-0.0233463974001039,-0.0654661520551683,5,2016
5681.KL,2009-08-24,85.0,0.833,-0.008074311913371,-0.0053412439739334,0.0011532871938915,-0.0223292084288968,-0.008074311913371,-0.0451713231451826,0.0242210918689294,-0.0627613728852409,8,2009
4863.KL,2012-10-23,85.0,1.0,-0.0132012302713954,-0.0181083849084285,-0.075907775004187,-0.0642734457152529,-0.1138614132818668,-0.0834811637874258,-0.084158660747753,-0.0623915938350541,10,2012
6459.KL,2007-08-22,60.0,0.833,0.0699151056653391,0.0632956994039593,0.0550847990548239,0.0204661065127531,0.029660803780704,-0.0127802134929562,0.0381353735922405,-0.061052940858485,8,2007
0099.KL,2015-06-25,85.0,0.944,-0.0141506218205991,-0.0240934493358599,-0.0330189916074619,-0.024124577542951,0.0,-0.0023007502502114,-0.107785663357464,-0.060348812047733,6,2015
5681.KL,2007-11-01,85.0,1.0,0.0112356711682499,0.0161393258363373,-0.0393262132170257,-0.0233450478525399,-0.0337084962527399,-0.02506501118681,-0.0710778972925377,-0.0597874591635929,11,2007
5681.KL,2005-06-27,85.0,0.944,0.0146337941660585,0.0062633150123696,0.0,-0.0202978212716251,0.0,-0.0545426516746574,-0.0248803959676199,-0.0594394317979961,6,2005
8869.KL,2019-03-21,85.0,0.889,-0.0256960349464302,-0.0122737745890066,-0.0235546617590114,-0.0123804509775452,-0.0364029008835242,-0.0099972333742975,-0.065874654861223,-0.0593228208385724,3,2019
7103.KL,2017-01-31,60.0,0.667,-0.0085474593853883,-0.0186937679039759,-0.0042744859377182,-0.0258413798890181,-0.0213677976878186,-0.0477686040409606,0.0,-0.0576594054766814,1,2017
4863.KL,2014-11-25,100.0,0.944,-0.0933330756848348,-0.0647291213865731,-0.0799999516909065,-0.025359319997509,-0.0959999234486672,-0.0473150793788531,-0.0693332109502965,-0.0569865524138601,11,2014
5031.KL,2023-08-22,85.0,1.0,-0.0160714871658673,-0.0180762077370184,-0.0010016738976136,-0.0072640078740698,-0.0065208453215982,-0.0065415333516555,-0.0506755380377321,-0.0569723520642837,8,2023
5263.KL,2025-09-26,85.0,0.778,-0.0116861326083398,-0.0278509559365937,0.0333890003484333,0.0251854325467428,-0.0200332951273891,-0.0258317201431197,-0.0175746467351256,-0.0562558489014004,9,2025
5031.KL,2024-01-16,85.0,1.0,-0.0036429926109945,-0.0051424472099198,0.0018214417974233,-0.0109708262138659,0.007285985221989,-0.0192759337138181,-0.0249516159082031,-0.056112325327548,1,2024
7103.KL,2014-07-25,100.0,0.778,0.0088880278188623,0.0092342753956982,-0.0222225372478417,-0.0078671452237343,0.0222213821539036,0.0304884088053436,-0.0844451375008072,-0.0555798587591536,7,2014
5681.KL,2009-06-29,85.0,0.833,-0.0120482218777697,-0.0027438549796758,-0.0060244350169799,0.0052968878819495,0.0180722444317196,-0.0568367480309057,0.0777411497513025,-0.0544533190282587,6,2009
5142.KL,2007-10-01,85.0,0.667,-0.0210523988944898,-0.0337393557267026,-0.0210523988944898,-0.0398564188911659,-0.010526153202426,-0.0593290839410173,0.0210527688530415,-0.0531760917014434,10,2007
8869.KL,2019-04-18,60.0,0.833,0.0444448303750601,0.0345974648051696,0.0222221276564422,0.0113745983946265,-0.0444441978066668,-0.035572351702399,-0.0216709880672297,-0.052052571127919,4,2019
