ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d,sample,baseline_ret,baseline_exc,rule_ret,rule_exc,exited_early
5681.KL,2009-08-24,85.0,0.833,-0.008074311913371,-0.0053412439739334,0.0011532871938915,-0.0223292084288968,-0.008074311913371,-0.0451713231451826,0.0242210918689294,-0.0627613728852409,in_sample,0.0242210918689294,-0.0627613728852409,-0.008074311913371,-0.0053412439739334,True
5681.KL,2009-09-24,85.0,0.833,-0.0011625656485469,0.0068091948071917,0.0046517934368401,-0.005224490693559,0.0465118109977922,0.0120636237828344,0.0300543777179291,-0.0008143592714,in_sample,0.0300543777179291,-0.0008143592714,0.0300543777179291,-0.0008143592714,False
5681.KL,2009-10-22,85.0,0.833,0.0,0.0144997851209116,-0.0244444110089028,-0.0196349171121277,-0.0133333625894321,-0.0265315694631603,-0.0055553152376002,-0.042538835232206,in_sample,-0.0055553152376002,-0.042538835232206,-0.0055553152376002,-0.042538835232206,False
5681.KL,2009-11-19,85.0,0.833,0.0022522396112694,0.006983402378663,0.0078830504355322,0.0129353929873979,-0.0024249593219136,0.0140165006185337,-0.0058609272750473,0.0021366310318962,in_sample,-0.0058609272750473,0.0021366310318962,-0.0058609272750473,0.0021366310318962,False
5681.KL,2009-12-21,85.0,0.833,0.005740569201369,-0.0098368450596622,0.0080369242684774,-0.0218358189459149,0.0103331731801183,-0.0302510291918172,0.0229622768054762,-0.0162122927971832,in_sample,0.0229622768054762,-0.0162122927971832,0.005740569201369,-0.0098368450596622,True
5681.KL,2010-01-20,85.0,0.833,-0.0113640303752482,0.0198998227255714,-0.0125005700034651,0.0193296223827935,-0.0136365842828662,0.0171145551923365,0.0215908907037005,-0.0008180953873542,in_sample,0.0215908907037005,-0.0008180953873542,0.0215908907037005,-0.0008180953873542,False
5681.KL,2010-02-22,60.0,0.889,0.0311062347539865,0.0140268580100766,0.0218897067439309,-0.0187754667998019,0.0264978642265942,-0.0038312756906426,0.0391707233933764,-0.0111515228146015,in_sample,0.0391707233933764,-0.0111515228146015,0.0391707233933764,-0.0111515228146015,False
5681.KL,2010-03-23,85.0,0.944,0.0089787176901379,-0.0021336709149113,0.0202020369733513,-0.0100849847308133,0.0089787176901379,-0.0148171587777159,0.0258136447286523,0.0307797179094716,in_sample,0.0258136447286523,0.0307797179094716,0.0089787176901379,-0.0021336709149113,True
5681.KL,2010-04-20,85.0,1.0,0.0122359643553615,0.0093765091422082,0.0022248329909655,-0.0030075871801777,0.0033370437881319,0.0076262722962781,0.0567301557948765,0.0528526712930725,in_sample,0.0567301557948765,0.0528526712930725,0.0567301557948765,0.0528526712930725,False
5681.KL,2010-05-18,85.0,1.0,-0.0077605040806534,0.0524122831707415,0.0088693232471825,0.0495784225541046,0.0133036773495112,0.0372104319579711,0.2065379430497274,0.1894423917419203,in_sample,0.2065379430497274,0.1894423917419203,0.2065379430497274,0.1894423917419203,False
5681.KL,2010-06-16,85.0,1.0,0.0700222129918182,0.0458919911193851,0.0251642707294112,0.0131106770135076,0.0393878488723451,0.0064927872965845,0.2822892107660679,0.1749160931617099,in_sample,0.2822892107660679,0.1749160931617099,0.2822892107660679,0.1749160931617099,False
5681.KL,2010-07-14,85.0,1.0,0.0189469858718078,0.0189916786011018,0.0494735396532193,0.0389521793958693,0.1455755344533875,0.1367542273630908,0.2028549535391433,0.093741341435442,in_sample,0.2028549535391433,0.093741341435442,0.2028549535391433,0.093741341435442,False
