ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d
5681.KL,2005-03-30,85.0,0.778,0.009950182116964301,0.028178607067120942,0.01990051223934497,0.02391078797987478,0.014925310176800544,0.01936851657277039,0.01990051223934497,0.004543086470333302
5681.KL,2005-04-28,85.0,0.833,0.019607567206148424,-0.011713593040878267,0.019607567206148424,-0.00043020844737173825,0.01470589414792367,0.019157406103019747,0.004902037630412082,-0.07061441612388752
5681.KL,2005-05-30,85.0,0.889,-0.0338159488465114,-0.036126340910173194,-0.019323686771686277,-0.047738751922693834,-0.00966177152813752,-0.03411112317519782,-0.04420635750990631,-0.10628961118402325
5681.KL,2005-06-27,85.0,0.944,0.014633794166058589,0.006263315012369652,0.0,-0.02029782127162516,0.0,-0.05454265167465744,-0.024880395967619928,-0.059439431797996156
5681.KL,2005-07-25,60.0,1.0,-0.009756177198629978,-0.008032419850515948,-0.0048781248786908815,-0.01358172596189866,-0.03488160407083618,-0.01799569189550354,-0.019879646798508288,-0.0015786469309251316
5681.KL,2005-09-16,85.0,1.0,-0.014925702832843668,-0.014817268265227446,-0.009950661058937382,-0.015970235947768807,-0.014925702832843668,-0.018830340257571687,-0.03728094190909437,-0.012128822377393988
5681.KL,2005-10-14,85.0,1.0,-0.025252407556089818,-0.007955322128304632,-0.020202057953706998,0.0011897551100014114,-0.020202057953706998,0.010902468053675674,0.013123316879904534,0.027913885105791403
5681.KL,2005-11-16,60.0,1.0,0.0,-0.006802003461335859,-0.005154480720622079,-0.004407398964070053,-0.0025432840330842366,-0.004773435713752661,0.02879032828064676,0.002574884384975773
5681.KL,2005-12-14,60.0,1.0,0.03664899009913758,0.041266216885150975,0.020942312192812507,0.01906202462677009,0.03664899009913758,0.022073960282702698,0.07329813016703302,0.04753040153526289
5681.KL,2006-01-13,85.0,1.0,0.0,0.007117064476121038,-0.02525239665975787,-0.027566230737038677,-0.005050392531833592,-0.014272865302283555,0.0353534710571517,0.00047026378995917995
5681.KL,2006-02-10,85.0,1.0,0.00507602846810018,-0.001617339158973774,0.02538072394528701,0.02038243467521461,0.04060895475078419,0.03881605407770694,0.020304913578981454,-0.02432136173386934
5681.KL,2006-03-10,85.0,1.0,0.019512460262506526,0.01879662321013731,0.019512460262506526,0.015032868106248154,0.0,-0.023591044602414568,-0.029268061622134356,-0.03876950259755296
5681.KL,2006-04-07,85.0,1.0,-0.004877940406841752,0.0008335753373385213,-0.014633960947553204,-0.019381161215052067,-0.019511691763853256,-0.038235645625464554,-0.004877940406841752,0.025873051800053393
5681.KL,2006-05-05,60.0,1.0,0.0,-0.004857582731529142,-0.004974940039930598,0.012687150270362269,-0.009950521364025633,0.021941169771598545,0.024874771453449185,0.052605776929205095
5681.KL,2006-06-02,60.0,1.0,-0.035175881205274706,-0.018715563632537124,-0.025125639713758252,0.014864875021846524,0.02512549577388956,0.0423486872453358,0.07509227805065977,0.05381837241697407
5681.KL,2006-06-30,85.0,1.0,-0.024509677963790888,-0.03639348022267008,-0.014705483830791843,-0.013546623937533475,0.009803492073253928,-0.012094602590792425,0.07419732456264128,0.018943656224245542
5681.KL,2006-07-28,85.0,1.0,-0.004854054047289558,-0.008352448896808196,-0.004854054047289558,-0.012931391715003682,0.03856059200298456,0.0216570815149828,0.08393492210938946,0.036359142055359506
5681.KL,2006-08-25,85.0,1.0,0.00970888149912219,-0.0009905069421349832,0.00970888149912219,0.0032071850079435915,0.0242721368047758,0.008796438623527303,0.13106769111816607,0.03609860295970013
5681.KL,2006-09-22,85.0,1.0,0.018957359600445756,0.016553779758166076,0.0,-0.005957129509391645,0.018957359600445756,0.004494462409999178,0.1378507088651244,0.00929070935075993
5681.KL,2006-10-20,85.0,1.0,0.027906868152414388,0.016969234040594472,0.03720926443779282,0.01797906698592433,0.08372034789426586,0.02081117146527167,0.3423939403929801,0.18571343658101758
5681.KL,2006-11-17,100.0,1.0,-0.008582873056031004,-0.02745316765082595,0.017167758425764568,-0.02061118335242562,0.030414701158986146,-0.01621325011375685,0.216766668793406,0.01994505454116191
5681.KL,2006-12-15,85.0,1.0,0.01276632896531038,0.021579144354068602,0.0595749764788458,0.05322234888868116,0.20212798954155864,0.16238756322330916,0.21276655872017347,0.12750234851340858
5681.KL,2007-01-16,100.0,1.0,-0.026548768973781667,-0.05878405758841654,-0.06194664979683573,-0.10504185399336174,-0.017699083754123435,-0.11749515721165216,0.21238986510506064,0.05735859388965703
5681.KL,2007-02-14,100.0,1.0,0.08108127564820289,0.050711380967704445,0.00900952785466691,0.07400419724986107,0.02702722159414872,0.07795691454758802,0.333333268477626,0.25268399601036884
5681.KL,2007-03-16,85.0,1.0,0.026315595041341178,-0.018896784801175626,0.0789469745709217,0.02424383921618989,0.20175460033903425,0.09517364516719518,0.35964892837467444,0.20876074342255158
5681.KL,2007-04-13,100.0,1.0,-0.007299372482704958,-0.012780219610767918,0.01459850850253508,0.0019321967934331497,0.08029152089058855,0.05132039581134373,0.16058327824405194,0.11223440012084063
